n_estimators,max_features,min_samples_leaf,max_depth,validation_accuracy
500,sqrt,1,,0.8738461538461538
500,sqrt,1,20.0,0.8738461538461538
500,sqrt,1,40.0,0.8738461538461538
500,sqrt,2,,0.8738461538461538
500,sqrt,2,20.0,0.8738461538461538
500,sqrt,2,40.0,0.8738461538461538
500,sqrt,4,,0.8769230769230769
500,sqrt,4,20.0,0.8769230769230769
500,sqrt,4,40.0,0.8769230769230769
500,0.5,1,,0.8738461538461538
500,0.5,1,20.0,0.8738461538461538
500,0.5,1,40.0,0.8738461538461538
500,0.5,2,,0.8646153846153846
500,0.5,2,20.0,0.8646153846153846
500,0.5,2,40.0,0.8646153846153846
500,0.5,4,,0.8769230769230769
500,0.5,4,20.0,0.8769230769230769
500,0.5,4,40.0,0.8769230769230769
500,,1,,0.8769230769230769
500,,1,20.0,0.8769230769230769
500,,1,40.0,0.8769230769230769
500,,2,,0.8830769230769231
500,,2,20.0,0.8830769230769231
500,,2,40.0,0.8830769230769231
500,,4,,0.8830769230769231
500,,4,20.0,0.8830769230769231
500,,4,40.0,0.8830769230769231
800,sqrt,1,,0.8738461538461538
800,sqrt,1,20.0,0.8738461538461538
800,sqrt,1,40.0,0.8738461538461538
800,sqrt,2,,0.8676923076923077
800,sqrt,2,20.0,0.8676923076923077
800,sqrt,2,40.0,0.8676923076923077
800,sqrt,4,,0.88
800,sqrt,4,20.0,0.88
800,sqrt,4,40.0,0.88
800,0.5,1,,0.8707692307692307
800,0.5,1,20.0,0.8707692307692307
800,0.5,1,40.0,0.8707692307692307
800,0.5,2,,0.8707692307692307
800,0.5,2,20.0,0.8707692307692307
800,0.5,2,40.0,0.8707692307692307
800,0.5,4,,0.8738461538461538
800,0.5,4,20.0,0.8738461538461538
800,0.5,4,40.0,0.8738461538461538
800,,1,,0.88
800,,1,20.0,0.88
800,,1,40.0,0.88
800,,2,,0.8861538461538462
800,,2,20.0,0.8861538461538462
800,,2,40.0,0.8861538461538462
800,,4,,0.8830769230769231
800,,4,20.0,0.8830769230769231
800,,4,40.0,0.8830769230769231
