n_estimators,max_features,min_samples_leaf,max_depth,validation_accuracy
500,sqrt,1,,0.88
500,sqrt,1,10.0,0.88
500,sqrt,1,20.0,0.88
500,sqrt,1,40.0,0.88
500,sqrt,2,,0.88
500,sqrt,2,10.0,0.88
500,sqrt,2,20.0,0.88
500,sqrt,2,40.0,0.88
500,sqrt,3,,0.88
500,sqrt,3,10.0,0.88
500,sqrt,3,20.0,0.88
500,sqrt,3,40.0,0.88
500,0.5,1,,0.88
500,0.5,1,10.0,0.88
500,0.5,1,20.0,0.88
500,0.5,1,40.0,0.88
500,0.5,2,,0.88
500,0.5,2,10.0,0.88
500,0.5,2,20.0,0.88
500,0.5,2,40.0,0.88
500,0.5,3,,0.88
500,0.5,3,10.0,0.88
500,0.5,3,20.0,0.88
500,0.5,3,40.0,0.88
500,,1,,0.88
500,,1,10.0,0.88
500,,1,20.0,0.88
500,,1,40.0,0.88
500,,2,,0.88
500,,2,10.0,0.88
500,,2,20.0,0.88
500,,2,40.0,0.88
500,,3,,0.88
500,,3,10.0,0.88
500,,3,20.0,0.88
500,,3,40.0,0.88
800,sqrt,1,,0.88
800,sqrt,1,10.0,0.88
800,sqrt,1,20.0,0.88
800,sqrt,1,40.0,0.88
800,sqrt,2,,0.88
800,sqrt,2,10.0,0.88
800,sqrt,2,20.0,0.88
800,sqrt,2,40.0,0.88
800,sqrt,3,,0.88
800,sqrt,3,10.0,0.88
800,sqrt,3,20.0,0.88
800,sqrt,3,40.0,0.88
800,0.5,1,,0.88
800,0.5,1,10.0,0.88
800,0.5,1,20.0,0.88
800,0.5,1,40.0,0.88
800,0.5,2,,0.88
800,0.5,2,10.0,0.88
800,0.5,2,20.0,0.88
800,0.5,2,40.0,0.88
800,0.5,3,,0.88
800,0.5,3,10.0,0.88
800,0.5,3,20.0,0.88
800,0.5,3,40.0,0.88
800,,1,,0.88
800,,1,10.0,0.88
800,,1,20.0,0.88
800,,1,40.0,0.88
800,,2,,0.88
800,,2,10.0,0.88
800,,2,20.0,0.88
800,,2,40.0,0.88
800,,3,,0.88
800,,3,10.0,0.88
800,,3,20.0,0.88
800,,3,40.0,0.88
1200,sqrt,1,,0.88
1200,sqrt,1,10.0,0.88
1200,sqrt,1,20.0,0.88
1200,sqrt,1,40.0,0.88
1200,sqrt,2,,0.88
1200,sqrt,2,10.0,0.88
1200,sqrt,2,20.0,0.88
1200,sqrt,2,40.0,0.88
1200,sqrt,3,,0.88
1200,sqrt,3,10.0,0.88
1200,sqrt,3,20.0,0.88
1200,sqrt,3,40.0,0.88
1200,0.5,1,,0.88
1200,0.5,1,10.0,0.88
1200,0.5,1,20.0,0.88
1200,0.5,1,40.0,0.88
1200,0.5,2,,0.88
1200,0.5,2,10.0,0.88
1200,0.5,2,20.0,0.88
1200,0.5,2,40.0,0.88
1200,0.5,3,,0.88
1200,0.5,3,10.0,0.88
1200,0.5,3,20.0,0.88
1200,0.5,3,40.0,0.88
1200,,1,,0.88
1200,,1,10.0,0.88
1200,,1,20.0,0.88
1200,,1,40.0,0.88
1200,,2,,0.88
1200,,2,10.0,0.88
1200,,2,20.0,0.88
1200,,2,40.0,0.88
1200,,3,,0.88
1200,,3,10.0,0.88
1200,,3,20.0,0.88
1200,,3,40.0,0.88
