All Model Comparison Summary
============================

100.00% | 1D CNN | Easy dataset, 2-sec windows
88.20% | Random Forest Baseline | Easy dataset, 2-sec windows
86.67% | Hybrid Full-Trial + Window Ensemble | Harder dataset, full-trial + windows
86.67% | Full-Trial Random Forest | Harder dataset, full-trial
86.67% | Full-Trial Hierarchical Extra Trees | Harder dataset, full-trial
86.67% | Trial-Level Majority Vote | Harder dataset, 4-sec windows
86.67% | Full-Trial Extra Trees | Harder dataset, full-trial
85.81% | Hierarchical Specialist Extra Trees | Harder dataset, 4-sec windows
85.75% | Specialist-Corrected Extra Trees | Harder dataset, 2-sec windows
85.62% | Hierarchical Specialist Extra Trees | Harder dataset, 2-sec windows
85.36% | Multiseed General Extra Trees | Harder dataset, 2-sec windows
85.36% | Multiseed Specialist-Corrected | Harder dataset, 2-sec windows
85.23% | Always Specialist Corrected | Harder dataset, 2-sec windows
85.10% | Confidence-Gated Specialist | Harder dataset, 2-sec windows
85.10% | Tuned Extra Trees | Harder dataset, 2-sec windows
83.42% | General Tuned Extra Trees | Harder dataset, 4-sec windows
83.42% | Tuned Extra Trees | Harder dataset, 4-sec windows
83.08% | Expanded Random Forest | Harder dataset, 4-sec windows
82.91% | Specialist-Corrected Extra Trees | Harder dataset, 4-sec windows
82.22% | Feature Extra Trees | Harder dataset, 2-sec windows
81.18% | Feature Random Forest | Harder dataset, 2-sec windows
80.78% | Feature Gradient Boosting | Harder dataset, 2-sec windows
69.00% | Raw Random Forest | Harder dataset, 2-sec windows
67.00% | 1D CNN v2 | Harder dataset, 2-sec windows
65.00% | 1D CNN v1 | Harder dataset, 2-sec windows
57.00% | CNN-GRU | Harder dataset, 2-sec windows

Best recorded result:
1D CNN (Easy dataset, 2-sec windows): 100.00%

Important note:
The easy dataset results are not directly comparable to the harder dataset results. The harder dataset is more realistic because it includes overlapping terrain behavior, sensor noise, drift, trial variation, and less separable terrain signatures.
